xyz_path,filename,smiles,error
data\raw\xyz\1\1.xyz,1.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F,
data\raw\xyz\10\10.xyz,10.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B,
data\raw\xyz\103\103.xyz,103.xyz,P1(B(c2cccc3cccc1c23)c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\104\104.xyz,104.xyz,P1(B(c2cccc3cccc1c23)c1c(cccc1C)C)c1c(cccc1C)C,
data\raw\xyz\105\105.xyz,105.xyz,[P]1([B](c2c3c1cccc3ccc2)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C(C)C)C(C)C,
data\raw\xyz\106\106.xyz,106.xyz,c12cccc3cccc(c13)[B]([P]2(C(C)C)C(C)C)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\107\107.xyz,107.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)[P]2(C(C)C)C(C)C,
data\raw\xyz\108\108.xyz,108.xyz,[B]1(c2c3c(cccc3ccc2)[P]1(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\109\109.xyz,109.xyz,B(c1c2c(ccc3c2c(cc1)CC3)P(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\11\11.xyz,11.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(Cl)Cl,
data\raw\xyz\111\111.xyz,111.xyz,P(c1ccccc1)(c1c2-c3c(cccc3-c2ccc1)B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccccc1,
data\raw\xyz\112\112.xyz,112.xyz,P(c1cccc2-c3cccc(c3-c12)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\113\113.xyz,113.xyz,P(c1ccccc1B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\114\114.xyz,114.xyz,B([C@H]1[C@H](N2CCCCC2)CCC1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\115\115.xyz,115.xyz,c1cc2c(cc1)[N]([BH2]2)(C)C,
data\raw\xyz\12\12.xyz,12.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)BCl,
data\raw\xyz\120\120.xyz,120.xyz,N1(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(CCCC1(C)C)(C)C,
data\raw\xyz\122\122.xyz,122.xyz,P(c1c(B(OC)OC)cccc1)(c1ccccc1)c1ccccc1,
data\raw\xyz\123\123.xyz,123.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(c1ccccc1)c1ccccc1,
data\raw\xyz\124\124.xyz,124.xyz,P(c1c(B2OCC(CO2)(C)C)cccc1)(c1ccccc1)c1ccccc1,
data\raw\xyz\125\125.xyz,125.xyz,P(c1c(B(OC)OC)cccc1)(C(C)C)C(C)C,
data\raw\xyz\126\126.xyz,126.xyz,P(c1c(b2oc3c(o2)cccc3)cccc1)(C(C)C)C(C)C,
data\raw\xyz\127\127.xyz,127.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(C(C)C)C(C)C,
data\raw\xyz\129\129.xyz,129.xyz,Cc1cc(C)cc(c1B(c1c(C)cc(C)cc1C)c1c(N(C)C)cccc1)C,
data\raw\xyz\13\13.xyz,13.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(c1c(F)c(F)c(F)c(F)c1F)Cl,
data\raw\xyz\130\130.xyz,130.xyz,Cc1cc(C)c(C)cc1B(c1c(C)cc(C)c(C)c1)c1c(N(C)C)cccc1,
data\raw\xyz\131\131.xyz,131.xyz,[P]1(CC(=CC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\132\132.xyz,132.xyz,[P]1(CC(=CC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F)C)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\133\133.xyz,133.xyz,[P]1(CC(=CC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F)C)(c1ccccc1)c1ccccc1,
data\raw\xyz\134\134.xyz,134.xyz,[B]1(C[C]2C=CC=C(C)N12)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\135\135.xyz,135.xyz,[B]1(C[C]2C=CC=CN12)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\136\136.xyz,136.xyz,[B]1(C[C]2C=C(C=C(C)N12)N(C)C)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\137\137.xyz,137.xyz,[B]1(C[C]2C=C(C=C(C)N12)N1CCCCC1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\138\138.xyz,138.xyz,[B]1(c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)N2[C](C=CC=C2C)CCCC1,
data\raw\xyz\139\139.xyz,139.xyz,B(c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)CCCCC1=[N]=C([CH]C=C1)C(C)(C)C,
data\raw\xyz\14\14.xyz,14.xyz,,OpenBabel produced no output
data\raw\xyz\140\140.xyz,140.xyz,P(c1ccc([C@H]2[C@H](B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)[C@H]3CC[C@@]2(C3(C)C)C)cc1)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\141\141.xyz,141.xyz,[C@]12([C@@H]([C@H]([C@@H](CC1)C2(C)C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)N1CCCCC1)C,
data\raw\xyz\148\148.xyz,148.xyz,P(/C(=C(\B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)/c1c(F)c(F)c(F)c(F)c1F)/c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\149\149.xyz,149.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccc(cc1)C,
data\raw\xyz\15\15.xyz,15.xyz,c12ccccc1[N](C)(C)[B]2(Cl)Cl,
data\raw\xyz\150\150.xyz,150.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P]1(c1ccccc1)c1ccccc1)C,
data\raw\xyz\151\151.xyz,151.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P]1(c1ccccc1)c1ccccc1)CCC,
data\raw\xyz\152\152.xyz,152.xyz,P([C@@H](CC)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\153\153.xyz,153.xyz,P([C@@H](CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\154\154.xyz,154.xyz,[P](C(C)(C)C)(CC[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\155\155.xyz,155.xyz,[P](C(C)(C)C)([C@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\156\156.xyz,156.xyz,[P]([C@@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(c1F)F)CCCC)(C(C)(C)C)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\157\157.xyz,157.xyz,P(c1ccccc1)(/C(=C\C(C)(C)C)/[Al](CC)CC)CC,
data\raw\xyz\16\16.xyz,16.xyz,P([C@H]1[C@H](B(c2c(c(c(c(c2F)F)F)F)F)c2c(c(c(c(c2F)F)F)F)F)[C@H]2CC[C@@H]1C2)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\17\17.xyz,17.xyz,[C@H]12CCCC[C@@H]1[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\18\18.xyz,18.xyz,[C@@H]12[C@H](CCC1)[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\19\19.xyz,19.xyz,B(n1nc(cc1C(C)(C)C)C(C)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\2\2.xyz,2.xyz,[P]1(CC[B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\20\20.xyz,20.xyz,C(C(=[B](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)[CH]C)P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\21\21.xyz,21.xyz,C1/C(=C\[Si](C)(C)C)/[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\22\22.xyz,22.xyz,[B]1(CCC[P@@]1(CCCB(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)c1ccccc1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\23\23.xyz,23.xyz,[P@]1(CCC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,
data\raw\xyz\24\24.xyz,24.xyz,Fc1c(c(F)c(F)c(F)c1F)[B]1([N](CCC1)(C)c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\25\25.xyz,25.xyz,Fc1c(c(F)c(F)c(F)c1F)[B]1([N](CCC1)(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\26\26.xyz,26.xyz,[P]1(CCC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,
data\raw\xyz\27\27.xyz,27.xyz,[P]1([C@@H](C[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C)(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,
data\raw\xyz\28\28.xyz,28.xyz,[P]1([C@H](C[B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\29\29.xyz,29.xyz,[P]1(C[C@H]([B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)[Si](C)(C)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\3\3.xyz,3.xyz,B(c1ccccc1CN1C(CCCC1(C)C)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\30\30.xyz,30.xyz,[P]1(C[C@H](C[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\31\31.xyz,31.xyz,[P]1(CCCC[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\32\32.xyz,32.xyz,[P]1(CC[C@H](C[B]1(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\33\33.xyz,33.xyz,B(c1ccccc1CN1[C@@H](C(c2cccc(c12)C(C)C)(C)C)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\34\34.xyz,34.xyz,B(c1ccccc1CN1C(C[C@H](c2ccc(cc12)C)C)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\35\35.xyz,35.xyz,B(c1ccccc1CN1C(COCC1(C)C)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\36\36.xyz,36.xyz,B(c1ccccc1CN1C(CCCC1(C)C)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\37\37.xyz,37.xyz,B(c1ccccc1CN1[C@@H](C(c2ccccc12)(C)C)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\38\38.xyz,38.xyz,B(c1ccccc1CN1C(C)(C)C[C@@H](c2cccc(c12)C(C)C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\39\39.xyz,39.xyz,B(c1ccccc1CN1[C@@]2([C@](c3ccccc13)(C)CC[C@H](C2)C(C)C)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\4\4.xyz,4.xyz,P(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\40\40.xyz,40.xyz,B(c1ccc2ccccc2c1c1c(ccc2ccccc12)N(C)C(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\41\41.xyz,41.xyz,P1(F)(N(c2c1cccc2)C)(c1ccccc1)c1ccccc1,
data\raw\xyz\42\42.xyz,42.xyz,C(=C\N1CCN(C)CC1)(/[Si](C)(C)C)\[Al](CC(C)C)CC(C)C,
data\raw\xyz\43\43.xyz,43.xyz,C1=CC(=[N]=C([CH]1)C(C)(C)C)OB(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\44\44.xyz,44.xyz,o1c2ccccc2ob1c1ccccc1P(c1ccccc1)c1ccccc1,
data\raw\xyz\45\45.xyz,45.xyz,[P]1([B](C(=C1c1ccc(cc1)C)c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1ccccc1)c1ccccc1,
data\raw\xyz\5\5.xyz,5.xyz,P(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\51\51.xyz,51.xyz,C(CBc1c(cc(cc1C(F)(F)F)C(F)(F)F)C(F)(F)F)P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\52\52.xyz,52.xyz,C1CC[B]([N@]21[C@H](CCC[C@@H]2C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\53\53.xyz,53.xyz,N1([CH][C@@H]([BH](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C)C(CCCC1(C)C)(C)C,
data\raw\xyz\54\54.xyz,54.xyz,C(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(CCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(cc(cc1C)C)C,
data\raw\xyz\55\55.xyz,55.xyz,c1(ccccc1CN1C(CCCC1(C)C)(C)C)B1[C@@H]2CCC[C@H]1CCC2,
data\raw\xyz\56\56.xyz,56.xyz,C[C@H]1B2[C@@H](C)[C@H]3C[C@@H]1C[C@H](C3)C1=C2N2[C@H]([C@H]3C[C@@H]([C@H]2C)C[C@@H]1C3)C,
data\raw\xyz\57\57.xyz,57.xyz,[C@@H]12C[C@@H]3C[N@@](C[C@H](C1)C3)[C@@H]2c1cccc([C@]2([C@@]3(C([C@@]4(C(B2C([C@](C3(F)F)(C4(F)F)F)(F)F)(F)F)F)(F)F)F)F)c1,
data\raw\xyz\58\58.xyz,58.xyz,[C@@H]1(CC[C@@H]([P]1=[B](C(F)(F)F)C(F)(F)F)C)C,
data\raw\xyz\59\59.xyz,59.xyz,[C@@H]1(CCCCN1)B(c1c(cccc1C)C)c1c(cccc1C)C,
data\raw\xyz\6\6.xyz,6.xyz,,OpenBabel produced no output
data\raw\xyz\60\60.xyz,60.xyz,C12=NC(CCN1C=C1N2B(C(CC1)(C)C)C)(C)C,
data\raw\xyz\61\61.xyz,61.xyz,C1=C2N(C3=NC(CCN13)(C)C)B1[C@@]3(CCC[C@H]1CCC3)CC2,
data\raw\xyz\62\62.xyz,62.xyz,[C@@H]1(P(CCB1c1c(c(c(c(c1F)F)F)F)F)c1ccccc1)C,
data\raw\xyz\63\63.xyz,63.xyz,P(OB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\64\64.xyz,64.xyz,c1(cccc(c1[P@]12CC[C@H](C1)[B]2(c1c(F)c(F)c(F)c(F)c1F)c1c(c(F)c(c(c1F)F)F)F)c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\65\65.xyz,65.xyz,[C](/C=[BH]/c1c(cc(cc1C(F)(F)F)C(F)(F)F)C(F)(F)F)([Si](C)(C)C)P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\66\66.xyz,66.xyz,B(P(C(C)(C)C)C(C)(C)C)(N(C(C)C)C(C)C)N(C(C)C)C(C)C,
data\raw\xyz\67\67.xyz,67.xyz,C1(=C([Al]([P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C(C)(C)C)C(C)(C)C)CC)CC,
data\raw\xyz\68\68.xyz,68.xyz,P(C[Si](C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)(C(C)(C)C)C(C)(C)C,
data\raw\xyz\69\69.xyz,69.xyz,C([Si](F)(F)F)P(C(C)(C)C)C(C)(C)C,
data\raw\xyz\7\7.xyz,7.xyz,B(c1ccccc1N(c1ccccc1)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\70\70.xyz,70.xyz,C([Si](Cl)(Cl)Cl)P(C(C)(C)C)C(C)(C)C,
data\raw\xyz\71\71.xyz,71.xyz,C(P(C(C)(C)C)C(C)(C)C)B(c1ccccc1)c1ccccc1,
data\raw\xyz\72\72.xyz,72.xyz,C(P(C(C)(C)C)C(C)(C)C)B(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,
data\raw\xyz\73\73.xyz,73.xyz,[N]1([B](C[C@H]1c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(CC)CC,
data\raw\xyz\74\74.xyz,74.xyz,[N]12([B](C[C@H]1c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CCCCC2,
data\raw\xyz\75\75.xyz,75.xyz,[N]12([B](C([C@H]1c1ccccc1)(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CCCCC2,
data\raw\xyz\76\76.xyz,76.xyz,[N]12([B]([C@H]3[C@H]1CCCC3)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)CCCCC2,
data\raw\xyz\77\77.xyz,77.xyz,[B]1([C@H]2[C@@H](CCCC2)[N]21CCCC2)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\78\78.xyz,78.xyz,c12c(cccc1)[C@H](C[C@@H]2P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\79\79.xyz,79.xyz,c1cc(c2c(c1)c1c(c(ccc1)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)o2)P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\8\8.xyz,8.xyz,[B]1(c2ccccc2[N]1(C)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\80\80.xyz,80.xyz,c1c(c2c(cc1)C(c1c(c(ccc1)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)O2)(C)C)P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\81\81.xyz,81.xyz,c1c(c2c(cc1)C(c1c(c(ccc1)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)O2)(C)C)P(C(C)C)C(C)C,
data\raw\xyz\83\83.xyz,83.xyz,P(c1c2Oc3c(B(c4c(F)c(F)c(F)c(c4F)F)c4c(c(c(c(c4F)F)F)F)F)cccc3C(c2ccc1)(C)C)(c1ccccc1)c1ccccc1,
data\raw\xyz\84\84.xyz,84.xyz,[P]1([B](C2=C[C@@H]([C@@H]3C(=C12)CCCC3)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\85\85.xyz,85.xyz,[P]1([B](c2c1c1c(c(c2)c2ccccc2)CCCC1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\86\86.xyz,86.xyz,[P]1(c2c(cc(cc2C)C(C)(C)C)[B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\87\87.xyz,87.xyz,[P]1(c2c(cc(cc2C)c2ccccc2)[B]1(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\88\88.xyz,88.xyz,P(c1c(cc(cc1C)C)C)(c1c(cc(cc1C)C)C)/C(=C/c1ccccc1)/[Al](C(C)(C)C)C(C)(C)C,
data\raw\xyz\89\89.xyz,89.xyz,C(=C\c1ccccc1)(/P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)\[Al](CC(C)(C)C)CC(C)(C)C,
data\raw\xyz\9\9.xyz,9.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\90\90.xyz,90.xyz,[Al](C([Si](C)(C)C)[Si](C)(C)C)(C([Si](C)(C)C)[Si](C)(C)C)/C(=C/C(C)(C)C)/Pc1c(C)cc(C)cc1C,
data\raw\xyz\91\91.xyz,91.xyz,[Al](C([Si](C)(C)C)[Si](C)(C)C)(C([Si](C)(C)C)[Si](C)(C)C)[C](PC([Si](C)(C)C)[Si](C)(C)C)[CH]C(C)(C)C,
data\raw\xyz\94\94.xyz,94.xyz,S(c1ccc(cc1)C)/C(=C\C(C)(C)C)/B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\95\95.xyz,95.xyz,P(/C(=C\C(C)(C)C)/B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)c1c(C)cc(C)cc1C,
data\raw\xyz\96\96.xyz,96.xyz,P(c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)/C(=C\c1ccccc1)/B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,
data\raw\xyz\97\97.xyz,97.xyz,N1(C2=NCCCN2CCC1)B1[C@H]2CCC[C@@H]1CCC2,
data\raw\xyz\98\98.xyz,98.xyz,[N@@]12[C]3[N@](CCC[N@]3[B]2(C2CCCCC2)C2CCCCC2)CCC1,
data\raw\xyz\99\99.xyz,99.xyz,Cl[Si]1([N@@]2[C]3[N@]1CCC[N@@]3CCC2)(C)C,
