FLPID,OLD ID,LA-LB distance (A),CO2,E_CO2,H_CO2,G_CO2,E_CO2_sol,H_CO2_sol,G_CO2_sol
0BP06011,1,6.247,CO2,-4.9,-4,4.9,-4.8,-3.9,5.1
0BP07011,2,2.217,CO2,-5.6,-4.3,8.1,-9.7,-8.4,4
0BN08011,3,3.518,CO2,-7.3,-5.1,9,-11.3,-9.1,4.9
0BP08011,4,1.807,CO2,-12.7,-11.6,0.9,-15.5,-14.4,-1.9
0BP08012,5,1.79,CO2,-14.4,-13.5,0,-16.9,-16,-2.5
0BN03011,7,2.991,CO2,3.9,5.2,19.4,-14.7,-13.4,-0.8
0BN12011,8,1.758,CO2,-3.5,-1.8,10.2,1.2,2.5,16.8
0BN17011,9,3.008,CO2,4,6.4,20.4,-6.7,-5,7.1
0BN17012,10,2.978,CO2,8.7,11.3,26.8,-0.2,2.2,16.2
0BN17013,11,3.011,CO2,7,9.7,23.1,4.2,6.8,22.3
0BN17014,12,2.912,CO2,9.4,12.4,27.4,0.1,2.8,16.2
0BN17015,13,2.96,CO2,7.2,9.6,23.6,4.1,7,22.1
0BN17016,14,1.725,CO2,-2.2,-0.3,11.3,2.1,4.5,18.4
0BN17017,15,1.753,CO2,-3.2,-1.4,10.7,-6,-4.1,7.5
0BP13011,16,3.462,CO2,-18.6,-17.1,-1.6,-7.1,-5.3,6.8
0BP12011,17,2.152,CO2,-9.7,-8.2,3.9,-21.9,-20.4,-4.8
0BP16011,18,2.173,CO2,-14.4,-13.2,-0.7,-12.5,-11,1.1
0BN10011,19,2.355,CO2,-28.9,-26.9,-11.6,-17.3,-16.1,-3.6
0BP15031,20,3.463,CO2,-10.3,-9.3,5.9,-30.2,-28.2,-12.9
0BP15032,21,2.229,CO2,-5.5,-4.2,8.9,-14.9,-13.9,1.3
0BP16031,22,2.049,CO2,16.6,17.5,27.7,-11.5,-10.3,2.9
0BP16032,23,2.008,CO2,13,13.5,22.2,11.4,12.3,22.6
0BN16011,24,1.713,CO2,13.8,14.4,24.4,8.1,8.6,17.3
0BN16012,25,1.728,CO2,18.1,18.3,26.9,14.2,14.7,24.7
0BP09011,26,2.082,CO2,6.9,7.7,16.8,14.3,14.5,23.1
0BP09012,27,2.171,CO2,-3.5,-2.2,10,3,3.8,12.9
0BP09013,28,2.104,CO2,-4.6,-3.7,7.7,-6.7,-5.4,6.8
0BP09014,29,2.149,CO2,-4.1,-3,9.2,-7.5,-6.5,4.9
0BP16021,30,2.121,CO2,7.9,8.6,19.1,-7.6,-6.5,5.7
0BP16022,31,2.142,CO2,10.4,11,22.1,3.7,4.4,15
0BP16023,32,2.095,CO2,11.7,12,20.6,6.4,7,18.1
0BN11031,33,3.258,CO2,-1,0.9,13.2,7.9,8.1,16.8
0BN14011,34,3.508,CO2,-5.4,-3.7,10.1,-3.6,-1.7,10.6
0BN14012,35,3.247,CO2,-4.3,-2.4,10.4,-9.2,-7.5,6.3
0BN14013,36,3.25,CO2,-7,-4.8,8,-8.5,-6.5,6.3
0BN14014,37,3.119,CO2,-1.9,-0.1,14.6,-11.6,-9.5,3.3
0BN14015,38,3.778,CO2,-0.4,1.5,16,-4.9,-3,11.6
0BN14016,39,3.462,CO2,2.2,4,17.4,-3.7,-1.7,12.8
0BN15021,40,3.344,CO2,12.1,14.2,28.3,-0.4,1.4,14.7
0PN12011,41,1.869,CO2,-27.3,-24.8,-11.2,7.7,9.8,23.9
0AN13011,42,3.435,CO2,-16.5,-15,0.1,-29.1,-26.5,-12.9
0BN18021,43,2.864,CO2,0,1.5,14.9,-18.8,-17.3,-2.2
0BP14011,44,3.253,CO2,4.9,5.3,18,-3.1,-1.6,11.8
0BP13021,45,2.028,CO2,0.9,1.9,15.5,0.2,0.7,13.3
0BP13022,46,2.019,CO2,-3.6,-2.5,10.1,-1.9,-1,12.7
0BP17011,47,3.846,CO2,-0.7,0.4,13.3,-6.2,-5.1,7.4
0BP20031,48,3.08,CO2,-0.6,0,5.7,-4.4,-3.3,9.6
0BP20041,49,2.671,CO2,-8.1,-5.7,8.7,-1,-0.4,5.3
0BP16051,50,2.082,CO2,0.3,1.1,15.8,-9.7,-7.3,7.1
0BP19011,51,3.394,CO2,-7.2,-4.9,12.4,-2.7,-1.9,12.9
0BN18011,52,1.729,CO2,5.4,6,16.4,-10.1,-7.8,9.4
0BN16021,53,3.539,CO2,16.8,17.9,28.3,1.4,2.1,12.5
0BP17021,54,3.187,CO2,-21.7,-19.9,-8.9,15.8,16.9,27.3
0BN15011,55,3.32,CO2,7.5,9.6,23.1,-27.4,-25.6,-14.6
0BN10021,56,2.55,CO2,-19.3,-17,-3.3,3.9,5.9,19.4
0BN19011,57,4.703,CO2,-19.7,-17.9,-6.5,-22.4,-20.2,-6.5
0BP09021,58,1.756,CO2,-19.9,-19.1,-6.4,-19.4,-17.5,-6.1
0BN09011,59,2.493,CO2,-16.4,-14.1,0.1,-22.8,-22,-9.3
0BN11021,60,3.056,CO2,-24.3,-22.1,-8.4,-20.1,-17.8,-3.6
0BN11022,61,3.075,CO2,-18.1,-16.1,-1.3,-27,-24.8,-11.1
0BP19021,62,2.563,CO2,-11.4,-9.2,0.6,-20.4,-18.3,-3.6
0BP18011,63,2.868,CO2,-10.4,-9.1,3.7,-14.5,-12.3,-2.5
0BP20051,64,2.08622,CO2,-7.9,-7,3.9,-13.3,-12,0.8
0BP20061,65,3.14856,CO2,-14.1,-12,4.2,-11,-10,0.8
0BP20011,66,1.993,CO2,-28.5,-27.3,-18.8,-16.8,-14.7,1.5
0AP20011,67,2.61169,CO2,-9.8,-8.4,4.7,-29.5,-28.3,-19.7
0?P15011,68,3.24,CO2,-5.7,-4.5,9.7,-13,-11.6,1.5
0?P19011,69,3.359,CO2,-3.8,-2.8,9,-11.4,-10.2,4
0?P19012,70,3.435,CO2,4.1,5.3,16.9,-11,-10,1.8
0BP19031,71,2.955,CO2,-16.6,-15.7,-4.5,-2.3,-1.1,10.5
0BP16061,72,2.938,CO2,-23.3,-22.3,-10.7,-20.9,-20,-8.8
0BN11011,73,1.716,CO2,3.9,5,15,-27.3,-26.2,-14.7
0BN11012,74,1.704,CO2,-2.5,-0.7,10.9,-0.2,1,10.9
0BN11013,75,1.717,CO2,5.3,6.9,19.4,-6.2,-4.4,7.3
0BN11014,76,1.781,CO2,-7.4,-5.7,6.4,1.7,3.2,15.8
0BN11015,77,1.727,CO2,-6.6,-5.1,7.2,-10.8,-9.2,3
0BP15011,78,5.195,CO2,-13.3,-12.2,3,-10.2,-8.6,3.6
0BP15021,79,5.433,CO2,-1.1,-4.9,12.5,-17.4,-16.3,-1
0BP15022,80,4.0843,CO2,4.2,5.2,19,0.9,-3,14.4
0BP15023,81,4.386,CO2,-4.1,-3,10.6,0.6,1.6,15.4
0BP19041,83,4.434,CO2,2,2.7,15,-10.2,-9.1,4.5
0BP19051,84,2.238,CO2,-11.3,-9.9,3.6,-3.2,-2.5,9.8
0BP19052,85,2.174,CO2,-8.6,-7.2,6.5,-14.3,-12.9,0.5
0BP16041,86,2.235,CO2,-13.7,-12.5,0.9,-11.5,-10.1,3.6
0BP16042,87,2.237,CO2,-13.4,-12.2,1.2,-15.8,-14.6,-1.2
0AP19011,88,3.275,CO2,-21.7,-20.2,-7.3,-15.5,-14.3,-0.8
0AP19012,89,3.133,CO2,-4,-2.9,6.6,-25,-23.5,-10.6
0AP16011,90,3.263,CO2,-9.5,-7.9,3.2,-4.1,-3,6.4
0AP18011,91,3.215,CO2,-20.5,-19.3,-7.6,-13.7,-12.2,-1
0BS18011,94,2.879,CO2,6.6,7.3,18.6,-22.6,-21.4,-9.7
0BP17031,95,2.999,CO2,-7,-5.8,6,4.2,4.9,16.2
0BP13061,96,2.808,CO2,-4.1,-3.1,10.3,-12,-10.8,1
0BN19021,97,2.928,CO2,-30.5,-28.3,-14,-7,-6.1,7.4
0BN19022,98,1.633,CO2,-29.1,-26.5,-13.3,-35.1,-32.9,-18.6
0?N16011,99,2.195,CO2,-10.4,-8,5.6,-33.1,-30.5,-17.3
0BP11011,103,1.91,CO2,-9.4,-8.5,3.7,-14.6,-12.3,1.4
0BP11012,104,1.91,CO2,-8.9,-7.4,4.1,-10.7,-9.8,2.4
0BP13031,105,2.198,CO2,12.1,12.8,24,-10.2,-8.7,2.8
0BP13032,106,2.069,CO2,13.7,14.9,27,9.2,9.9,21.1
0BP13033,107,2.014,CO2,26.2,27.3,38.1,10.9,12,24.1
0BP13041,108,2.176,CO2,13.4,14.6,26.8,21.9,23,33.8
0BP13051,109,2.958,CO2,11,12.5,26.4,11,12.3,24.5
0BP18021,111,3.882,CO2,8.2,9.3,24.8,8.7,10.3,24.2
0BP18031,112,3.542,CO2,-5.2,-4.1,9.5,6.2,7.3,22.8
0BP17041,113,3.183,CO2,-5.3,-3.3,11.6,-8.4,-7.4,6.3
0BN13031,114,2.807,CO2,-14.1,-11.9,2.1,-7.9,-5.9,9
0BN17021,115,1.719,CO2,-2.7,-0.7,11.6,-19.4,-17.2,-3.2
0BN17031,120,4.637,CO2,-4.1,-3.2,5.4,-5.7,-3.6,8.7
0BP15041,122,3.262,CO2,3.9,4.2,15.4,-3.8,-2.9,5.7
0BP15042,123,3.257,CO2,-6,-5,3.8,0.9,1.2,12.4
0BP15043,124,3.255,CO2,-4,-3,4.3,-5.7,-4.7,4.1
0BP15044,125,3.052,CO2,-0.6,0.2,13.6,-3.6,-2.7,4.7
0BP15045,126,3.267,CO2,-6.1,-5.3,2.7,-3.7,-2.9,10.5
0BP15046,127,3.238,CO2,1.1,1.7,14.8,-6.3,-5.5,2.6
0BN13011,129,3.056,CO2,4.2,6.4,22,-2,-1.4,11.8
0BN13012,130,3.035,CO2,1.7,3.7,18.2,0.6,2.8,18.3
0BP16071,131,2.081,CO2,13.8,14,21.9,-0.6,1.4,15.9
0BP16072,132,2.061,CO2,5.8,6,14.4,9.5,9.7,17.6
0BP16073,133,1.989,CO2,18.6,19.2,28.7,0.8,1,9.4
0BN15031,134,1.62,CO2,-4,-2.3,10,15.5,16.1,25.7
0BN15032,135,1.642,CO2,-6.8,-5.2,7.5,-7,-5.3,7.1
0BN15033,136,1.602,CO2,-8.9,-6.9,6.2,-10.3,-8.7,3.9
0BN15034,137,1.601,CO2,-7.8,-5.9,7.1,-12.3,-10.3,2.7
0BN15035,138,1.654,CO2,11,12.1,22.4,-10.7,-8.7,4.3
0BN15036,139,7.58,CO2,-3.8,-2.7,5.4,6.2,7.3,17.6
0BP12021,140,7.449,CO2,-4.2,-3.4,3,-3.6,-2.6,5.6
0BN13021,141,3.606,CO2,-2.5,-1.5,6.9,-3.9,-3,3.4
0BP14021,148,3.445,CO2,-16.4,-14.5,2.9,-2.6,-1.6,6.7
0BP14022,149,2.09,CO2,-3.4,-2.5,10,-18.7,-16.8,0.6
0BP14023,150,2.033,CO2,3.5,4.6,17.8,-6.2,-5.3,7.2
0BP14024,151,2.035,CO2,-2.4,-1.2,11.6,0.9,2,15.2
0BP13071,152,2.792,CO2,-5,-4,9.5,-4.9,-3.7,9.1
0BP13072,153,3.646,CO2,3.4,4.6,17.3,-7.6,-6.6,6.8
0BP07021,154,4.352,CO2,-8.5,-7.2,3.6,0.8,1.9,14.7
0BP07022,155,4.426,CO2,11.9,11,18.5,-8.3,-6.9,3.9
0BP07023,156,4.394,CO2,11,10.9,18.2,12.9,12,19.4
0AP12011,157,3.342,CO2,-24.9,-23.7,-10.6,11.1,11,18.4
