FLPID,OLD ID,LA-LB distance (A),CH3OH,E_CH3OH,H_CH3OH,G_CH3OH,E_CH3OH_sol,H_CH3OH_sol,G_CH3OH_sol,molecule,CO2,E_CO2,H_CO2,G_CO2,E_CO2_sol,H_CO2_sol,G_CO2_sol,H2,E_H2,H_H2,G_H2,E_H2_sol,H_H2_sol,G_H2_sol,H2CO,E_H2CO,H_H2CO,G_H2CO,E_H2CO_sol,H_H2CO_sol,G_H2CO_sol,H2O,E_H2O,H_H2O,G_H2O,E_H2O_sol,H_H2O_sol,G_H2O_sol,HCOOH,E_HCOOH,H_HCOOH,G_HCOOH,E_HCOOH_sol,H_HCOOH_sol,G_HCOOH_sol
0BP06011,1,6.247,CH3OH,-19.1,-17.2,-3.8,-19.0,-17.1,-3.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP07011,2,2.217,CH3OH,-16.6,-15.6,-4.7,-15.8,-14.7,-3.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN08011,3,3.518,CH3OH,-39.6,-37.6,-23.0,-40.9,-38.9,-24.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP08011,4,1.807,CH3OH,-7.7,-5.8,9.3,-7.7,-5.8,9.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP08012,5,1.79,CH3OH,-12.5,-11.0,5.2,-11.3,-9.8,6.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN03011,7,2.991,CH3OH,-24.0,-23.0,-8.9,-18.4,-17.6,-4.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN12011,8,1.758,CH3OH,-28.9,-27.6,-15.4,-23.2,-22.2,-8.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17011,9,3.008,CH3OH,-11.1,-9.4,4.2,-29.1,-27.7,-15.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17012,10,2.978,CH3OH,-32.2,-29.8,-16.3,-10.6,-8.9,4.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17013,11,3.011,CH3OH,-41.3,-38.6,-25.8,-34.0,-31.6,-18.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17014,12,2.912,CH3OH,-35.2,-32.4,-18.6,-45.0,-42.3,-29.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17015,13,2.96,CH3OH,-38.6,-36.3,-22.8,-37.8,-35.1,-21.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17016,14,1.725,CH3OH,-23.4,-21.9,-10.7,-41.0,-38.8,-25.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17017,15,1.753,CH3OH,-30.7,-28.6,-16.9,-23.8,-22.4,-11.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13011,16,3.462,CH3OH,-29.3,-28.1,-12.5,-31.9,-29.8,-18.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP12011,17,2.152,CH3OH,-13.5,-13.1,0.0,-28.1,-26.9,-11.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16011,18,2.173,CH3OH,-22.2,-21.6,-9.3,-12.2,-11.8,1.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN10011,19,2.355,CH3OH,-38.6,-37.1,-21.0,-21.6,-21.1,-8.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15031,20,3.463,CH3OH,-19.2,-18.0,-2.6,-37.6,-36.1,-20.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15032,21,2.229,CH3OH,-19.2,-18.1,-6.2,-18.5,-17.3,-1.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16031,22,2.049,CH3OH,-1.4,-0.4,11.0,-21.0,-19.9,-7.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16032,23,2.008,CH3OH,-0.8,-0.1,11.3,-0.5,0.6,12.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16011,24,1.713,CH3OH,-15.7,-15.7,-4.7,0.7,1.3,12.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16012,25,1.728,CH3OH,-14.9,-14.8,-5.2,-16.3,-16.2,-5.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09011,26,2.082,CH3OH,-3.9,-3.6,5.3,-13.7,-13.6,-4.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09012,27,2.171,CH3OH,-22.0,-21.5,-10.7,-3.5,-3.3,5.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09013,28,2.104,CH3OH,-23.0,-22.3,-11.5,-20.8,-20.3,-9.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09014,29,2.149,CH3OH,-12.1,-11.4,-0.7,-21.0,-20.3,-9.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16021,30,2.121,CH3OH,-9.2,-8.8,2.2,-11.1,-10.4,0.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16022,31,2.142,CH3OH,-8.9,-7.9,0.8,-7.9,-7.6,3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16023,32,2.095,CH3OH,-12.0,-12.2,-4.1,-9.1,-8.0,0.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11031,33,3.258,CH3OH,-34.0,-32.3,-18.6,-11.2,-11.3,-3.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14011,34,3.508,CH3OH,-37.1,-35.0,-19.7,-34.6,-32.9,-19.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14012,35,3.247,CH3OH,-37.4,-35.6,-22.1,-38.1,-36.0,-20.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14013,36,3.25,CH3OH,-39.3,-37.4,-24.4,-39.0,-37.2,-23.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14014,37,3.119,CH3OH,-35.1,-33.8,-17.9,-41.2,-39.3,-26.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14015,38,3.778,CH3OH,-36.3,-34.1,-19.0,-35.9,-34.6,-18.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14016,39,3.462,CH3OH,-32.4,-31.4,-18.0,-37.4,-35.1,-20.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15021,40,3.344,CH3OH,-28.5,-26.7,-12.5,-31.3,-30.3,-17.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0PN12011,41,1.869,CH3OH,-28.1,-25.5,-11.6,-30.1,-28.3,-14.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AN13011,42,3.435,CH3OH,-20.9,-19.1,-5.1,-26.2,-23.6,-9.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN18021,43,2.864,CH3OH,-29.4,-27.8,-15.1,-20.6,-18.7,-4.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP14011,44,3.253,CH3OH,-9.0,-7.8,5.5,-30.6,-29.0,-16.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13021,45,2.028,CH3OH,-8.8,-8.1,4.6,-8.3,-7.2,6.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13022,46,2.019,CH3OH,-9.6,-8.5,5.1,-7.2,-6.5,6.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17011,47,3.846,CH3OH,-12.4,-11.3,1.0,-7.8,-6.7,6.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20031,48,3.08,CH3OH,-6.2,-5.1,4.4,-12.4,-11.3,1.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20041,49,2.671,CH3OH,-16.8,-14.2,0.3,-4.9,-3.8,5.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16051,50,2.082,CH3OH,-14.3,-16.3,5.7,-15.2,-12.7,1.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19011,51,3.394,CH3OH,-22.3,-19.9,-4.5,-12.6,-14.6,7.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN18011,52,1.729,CH3OH,-18.7,-17.3,-6.1,-20.8,-18.4,-3.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16021,53,3.539,CH3OH,-7.9,-6.7,3.8,-20.6,-19.2,-8.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17021,54,3.187,CH3OH,-16.3,-14.2,-5.6,-5.2,-4.0,6.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15011,55,3.32,CH3OH,-21.2,-19.8,-4.2,-17.3,-15.3,-6.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN10021,56,2.55,CH3OH,-33.9,-31.6,-17.6,-20.5,-19.0,-3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN19011,57,4.703,CH3OH,-67.8,-64.2,-48.9,-34.1,-31.8,-17.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09021,58,1.756,CH3OH,-23.2,-21.5,-6.9,-74.8,-71.2,-55.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN09011,59,2.493,CH3OH,-19.4,-18.2,-3.2,-22.3,-20.6,-6.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11021,60,3.056,CH3OH,-32.5,-30.5,-16.7,-17.2,-16.0,-1.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11022,61,3.075,CH3OH,-34.6,-32.7,-18.1,-31.6,-29.6,-15.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19021,62,2.563,CH3OH,-15.3,-12.3,-1.9,-33.0,-31.1,-16.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP18011,63,2.868,CH3OH,-16.7,-15.0,-1.9,-15.2,-12.2,-1.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20051,64,2.08622,CH3OH,-15.3,-13.9,-2.9,-16.4,-14.6,-1.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20061,65,3.14856,CH3OH,-20.1,-18.4,-4.1,-14.0,-12.7,-1.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20011,66,1.993,CH3OH,-2.8,-1.5,8.4,-19.0,-17.3,-3.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AP20011,67,2.61169,CH3OH,-21.6,-20.1,-7.1,-1.8,-0.5,9.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0?P15011,68,3.24,CH3OH,-5.6,-3.9,8.9,-20.4,-19.0,-6.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0?P19011,69,3.359,CH3OH,-9.5,-8.1,1.2,-5.0,-3.3,9.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0?P19012,70,3.435,CH3OH,4.9,6.5,18.4,-8.4,-7.0,2.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19031,71,2.955,CH3OH,-11.7,-10.3,2.1,4.8,6.4,18.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16061,72,2.938,CH3OH,-18.2,-17.0,-4.3,-11.0,-9.5,2.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11011,73,1.716,CH3OH,-23.0,-21.7,-10.7,-17.3,-16.0,-3.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11012,74,1.704,CH3OH,-21.0,-19.7,-7.7,-23.7,-22.3,-11.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11013,75,1.717,CH3OH,-19.4,-17.5,-4.5,-21.4,-20.0,-8.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11014,76,1.781,CH3OH,-34.4,-32.8,-20.2,-19.3,-17.4,-4.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11015,77,1.727,CH3OH,-28.1,-26.6,-14.1,-34.9,-33.4,-20.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15011,78,5.195,CH3OH,-21.6,-19.9,-4.0,-28.5,-27.0,-14.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15021,79,5.433,CH3OH,-20.9,-18.9,-3.9,-21.7,-20.0,-4.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15022,80,4.0843,CH3OH,-23.7,-22.1,-9.8,-20.0,-18.0,-3.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15023,81,4.386,CH3OH,-22.3,-20.8,-7.2,-22.9,-21.4,-9.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19041,83,4.434,CH3OH,-21.8,-20.2,-6.8,-22.2,-20.8,-7.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19051,84,2.238,CH3OH,-19.5,-18.6,-4.4,-17.9,-16.2,-2.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19052,85,2.174,CH3OH,-17.0,-16.2,-2.9,-18.2,-17.2,-3.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16041,86,2.235,CH3OH,-24.7,-24.7,-11.8,-15.6,-14.9,-1.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16042,87,2.237,CH3OH,-20.5,-20.0,-6.4,-24.6,-24.6,-11.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AP19011,88,3.275,CH3OH,-19.8,-17.8,-4.8,-18.9,-18.4,-4.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AP19012,89,3.133,CH3OH,-23.9,-22.0,-9.1,-18.9,-16.9,-4.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AP16011,90,3.263,CH3OH,-19.3,-17.4,-2.5,-22.8,-20.9,-8.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AP18011,91,3.215,CH3OH,-9.9,-6.9,9.3,-18.7,-16.8,-1.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BS18011,94,2.879,CH3OH,-13.7,-12.6,2.2,-9.4,-6.5,9.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17031,95,2.999,CH3OH,-16.4,-14.8,-1.6,-13.8,-12.6,2.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13061,96,2.808,CH3OH,-20.7,-18.9,-3.5,-15.9,-14.3,-1.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN19021,97,2.928,CH3OH,-34.1,-32.1,-17.7,-20.1,-18.3,-2.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN19022,98,1.633,CH3OH,-27.7,-25.6,-11.8,-33.3,-31.4,-16.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0?N16011,99,2.195,CH3OH,-11.9,-9.5,2.7,-26.8,-24.7,-10.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP11011,103,1.91,CH3OH,-23.2,-22.2,-9.4,-13.6,-11.1,1.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP11012,104,1.91,CH3OH,-29.0,-28.3,-16.2,-21.2,-20.3,-7.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13031,105,2.198,CH3OH,10.8,11.5,22.7,-27.4,-26.8,-14.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13032,106,2.069,CH3OH,10.4,11.6,24.2,12.0,12.7,23.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13033,107,2.014,CH3OH,13.7,14.7,25.9,11.9,13.1,25.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13041,108,2.176,CH3OH,15.5,17.1,28.4,14.8,15.9,27.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13051,109,2.958,CH3OH,4.8,6.7,21.1,16.0,17.6,28.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP18021,111,3.882,CH3OH,-8.8,-6.9,9.8,6.1,8.0,22.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP18031,112,3.542,CH3OH,-23.6,-22.3,-7.9,-7.3,-5.4,11.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17041,113,3.183,CH3OH,-4.3,-2.5,13.3,-23.3,-22.0,-7.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN13031,114,2.807,CH3OH,-40.2,-37.7,-23.2,-2.8,-1.0,14.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17021,115,1.719,CH3OH,-20.1,-19.3,-7.4,-42.2,-39.8,-25.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17031,120,4.637,CH3OH,-18.9,-16.5,-2.7,-18.9,-18.2,-6.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15041,122,3.262,CH3OH,-7.8,-6.3,2.8,-18.3,-15.9,-2.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15042,123,3.257,CH3OH,-8.3,-7.0,1.9,-6.0,-4.5,4.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15043,124,3.255,CH3OH,-10.2,-8.8,1.3,-6.7,-5.4,3.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15044,125,3.052,CH3OH,-10.0,-8.9,6.4,-8.2,-6.7,3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15045,126,3.267,CH3OH,-11.5,-10.6,2.8,-8.2,-7.1,8.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15046,127,3.238,CH3OH,-7.9,-6.5,4.6,-10.9,-10.0,3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN13011,129,3.056,CH3OH,-7.6,-6.8,8.6,-6.1,-4.7,6.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN13012,130,3.035,CH3OH,-14.4,-14.0,1.0,-7.0,-6.1,9.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16071,131,2.081,CH3OH,-7.9,-7.5,1.9,-13.7,-13.3,1.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16072,132,2.061,CH3OH,-9.2,-9.3,0.7,-7.7,-7.3,2.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16073,133,1.989,CH3OH,2.0,3.2,12.8,-8.2,-8.3,1.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15031,134,1.62,CH3OH,-20.9,-19.7,-8.1,2.9,4.1,13.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15032,135,1.642,CH3OH,-20.7,-19.6,-6.7,-21.3,-20.2,-8.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15033,136,1.602,CH3OH,-23.0,-21.5,-9.1,-21.1,-20.0,-7.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15034,137,1.601,CH3OH,-23.2,-21.6,-9.5,-23.6,-22.0,-9.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15035,138,1.654,CH3OH,-14.8,-15.2,-4.3,-23.7,-22.1,-10.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15036,139,7.58,CH3OH,-17.1,-15.0,-1.3,-14.9,-15.3,-4.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP12021,140,7.449,CH3OH,-7.5,-6.0,3.4,-17.9,-15.9,-2.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN13021,141,3.606,CH3OH,-13.1,-10.8,4.9,-6.5,-5.1,4.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP14021,148,3.445,CH3OH,-19.6,-18.4,-5.4,-12.5,-10.2,5.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
